ts kv_usage running waiting_cap apc_q apc_h ext_q ext_h preempt l1_obj l1_gb
10:27:53 0.0 0.0 HELP 2.787529e+06 1.708416e+06 1.079113e+06 0.0 4.0 4456 56.07
10:27:58 0.0 0.0 HELP 2.787529e+06 1.708416e+06 1.079113e+06 0.0 4.0 4412 55.52
10:28:03 0.21876335225538668 1.0 HELP 2.845894e+06 1.708416e+06 1.137478e+06 0.0 4.0 4396 55.31
10:28:08 0.0 0.0 HELP 2.845894e+06 1.708416e+06 1.137478e+06 0.0 4.0 4391 55.25
10:28:14 0.0 0.0 HELP 2.845894e+06 1.708416e+06 1.137478e+06 0.0 4.0 4388 55.21
10:28:19 0.0 0.0 HELP 2.939417e+06 1.708416e+06 1.231001e+06 0.0 4.0 4388 55.21
10:28:24 0.0 0.0 HELP 2.939417e+06 1.708416e+06 1.231001e+06 0.0 4.0 4388 55.21
10:28:29 0.0 0.0 HELP 2.939417e+06 1.708416e+06 1.231001e+06 0.0 4.0 4514 56.8
10:28:34 0.8281755478239639 0.0 HELP 3.038637e+06 1.708416e+06 1.330221e+06 0.0 4.0 5172 65.08
10:28:39 0.0 0.0 HELP 3.038637e+06 1.708416e+06 1.330221e+06 0.0 5.0 4958 62.39
10:28:44 0.0 0.0 HELP 3.038637e+06 1.708416e+06 1.330221e+06 0.0 5.0 4771 60.03
10:28:49 0.06250381493011048 1.0 HELP 3.09992e+06 1.708416e+06 1.391504e+06 0.0 5.0 4710 59.27
10:28:54 0.0 0.0 HELP 3.09992e+06 1.708416e+06 1.391504e+06 0.0 5.0 4690 59.01
10:28:59 0.0 0.0 HELP 3.09992e+06 1.708416e+06 1.391504e+06 0.0 5.0 4682 58.91
10:29:05 0.29902948177989375 1.0 HELP 3.178295e+06 1.708416e+06 1.469879e+06 0.0 5.0 4678 58.86
10:29:10 0.0 0.0 HELP 3.178295e+06 1.708416e+06 1.469879e+06 0.0 5.0 4678 58.86
10:29:15 0.0 0.0 HELP 3.178295e+06 1.708416e+06 1.469879e+06 0.0 5.0 4678 58.86
10:29:20 0.0 0.0 HELP 3.22902e+06 1.708416e+06 1.520604e+06 0.0 6.0 5156 64.88
10:29:25 0.0 0.0 HELP 3.22902e+06 1.708416e+06 1.520604e+06 0.0 6.0 5031 63.3
10:29:30 0.21876335225538668 1.0 HELP 3.339224e+06 1.708416e+06 1.630808e+06 0.0 6.0 4990 62.79
10:29:35 0.0 0.0 HELP 3.339224e+06 1.708416e+06 1.630808e+06 0.0 6.0 4977 62.63
10:29:40 0.0 0.0 HELP 3.339224e+06 1.708416e+06 1.630808e+06 0.0 6.0 4972 62.56
10:29:45 0.1562595373252762 1.0 HELP 3.396121e+06 1.708416e+06 1.687705e+06 0.0 6.0 4969 62.52
10:29:50 0.0 0.0 HELP 3.396121e+06 1.708416e+06 1.687705e+06 0.0 6.0 4969 62.52
10:29:55 0.0 0.0 HELP 3.396121e+06 1.708416e+06 1.687705e+06 0.0 6.0 4969 62.52
10:30:01 0.5605810901544284 1.0 HELP 3.513523e+06 1.708416e+06 1.805107e+06 0.0 6.0 5240 65.93
10:30:06 0.0 0.0 HELP 3.513523e+06 1.708416e+06 1.805107e+06 0.0 7.0 5059 63.66
10:30:11 0.0 0.0 HELP 3.513523e+06 1.708416e+06 1.805107e+06 0.0 7.0 5000 62.91
10:30:16 0.2500152597204419 1.0 HELP 3.588325e+06 1.708416e+06 1.879909e+06 0.0 7.0 4980 62.66
10:30:21 0.0 0.0 HELP 3.588325e+06 1.708416e+06 1.879909e+06 0.0 7.0 4974 62.59
10:30:26 0.0 0.0 HELP 3.588325e+06 1.708416e+06 1.879909e+06 0.0 7.0 4969 62.52
10:30:31 0.0 0.0 HELP 3.635875e+06 1.708416e+06 1.927459e+06 0.0 7.0 4969 62.52
10:30:36 0.0 0.0 HELP 3.635875e+06 1.708416e+06 1.927459e+06 0.0 7.0 4969 62.52
10:30:41 0.28126716718549716 1.0 HELP 3.75003e+06 1.708416e+06 2.041614e+06 0.0 7.0 4969 62.52
10:30:47 0.06250381493011048 1.0 HELP 4.093371e+06 1.708416e+06 2.156061e+06 0.0 8.0 5331 67.08
10:30:52 0.43758774339254103 2.0 HELP 4.132745e+06 1.708416e+06 2.195435e+06 0.0 8.0 5214 65.61
10:30:57 0.9268143807605445 1.0 HELP 4.258534e+06 1.708416e+06 2.321224e+06 0.0 8.0 5293 66.6
10:31:02 0.08270768479521451 1.0 HELP 4.324035e+06 1.708416e+06 2.386725e+06 0.0 9.0 5400 67.95
10:31:07 0.3328450222791919 1.0 HELP 4.422112e+06 1.708416e+06 2.484802e+06 0.0 9.0 5380 67.7
10:31:12 0.3650125129707624 2.0 HELP 4.605394e+06 1.708416e+06 2.668084e+06 0.0 9.0 5373 67.61
10:31:17 0.16578160288103527 1.0 HELP 4.694217e+06 1.708416e+06 2.756907e+06 0.0 9.0 5368 67.55
10:31:22 0.2644204358176159 1.0 HELP 4.772879e+06 1.708416e+06 2.835569e+06 0.0 9.0 5368 67.55
10:31:27 0.3496307147653055 1.0 HELP 4.922404e+06 1.708416e+06 2.985094e+06 0.0 9.0 5368 67.55
10:31:32 0.0 0.0 HELP 4.978928e+06 1.708416e+06 3.041618e+06 0.0 10.0 5368 67.55
10:31:38 0.5247512665567966 3.0 HELP 6.088349e+06 1.850432e+06 3.174207e+06 0.0 10.0 5368 67.55
10:31:43 0.9395715070499908 4.0 HELP 6.200154e+06 1.850432e+06 3.286012e+06 0.0 11.0 5368 67.55
10:31:48 0.6332783983397424 4.0 HELP 1.2536837e+07 1.850432e+06 3.327099e+06 0.0 12.0 5368 67.55
10:31:53 0.9392052737593848 4.0 HELP 1.8066687e+07 1.850432e+06 3.437696e+06 0.0 12.0 5453 68.61
10:31:58 0.870719648416041 5.0 HELP 2.682206e+07 1.863056e+06 3.555983e+06 0.0 12.0 5453 68.61
10:32:03 0.8071781724958799 3.0 HELP 5.2049004e+07 1.863056e+06 3.555983e+06 0.0 13.0 5453 68.61
10:32:08 0.8137093328450222 3.0 HELP 1.03960044e+08 1.863056e+06 3.555983e+06 0.0 13.0 5453 68.61
10:32:13 0.8080937557223952 3.0 HELP 1.34378092e+08 1.863056e+06 3.647055e+06 0.0 13.0 5453 68.61
10:32:18 0.9400598181041323 3.0 HELP 1.42914902e+08 1.863056e+06 3.673985e+06 0.0 14.0 5453 68.61
10:32:24 0.9492766892510529 5.0 HELP 1.47308162e+08 1.87568e+06 3.770868e+06 0.0 14.0 5453 68.61
10:32:29 0.8248184093267411 4.0 HELP 1.62054642e+08 1.87568e+06 3.916318e+06 0.0 15.0 5455 68.64
10:32:34 0.9926753341878777 4.0 HELP 1.63113486e+08 2.557376e+06 3.922412e+06 0.0 17.0 5455 68.64
10:32:39 0.9629493987670146 5.0 HELP 1.67900884e+08 2.557376e+06 4.092201e+06 0.0 17.0 5456 68.65
10:32:44 0.7440029298663249 4.0 HELP 1.92273975e+08 2.57e+06 4.136378e+06 0.0 18.0 5455 68.64
10:32:49 0.9066715497772081 4.0 HELP 2.04695935e+08 2.57e+06 4.22778e+06 0.0 18.0 5455 68.64
10:32:54 0.8116340108649209 4.0 HELP 2.29920365e+08 2.57e+06 4.30445e+06 0.0 18.0 5455 68.64
10:32:59 0.9135689434169566 4.0 HELP 2.53077595e+08 2.57e+06 4.34754e+06 0.0 20.0 5455 68.64
10:33:05 0.939937740340597 3.0 HELP 2.90291535e+08 2.57e+06 4.4512e+06 0.0 20.0 5455 68.64
10:33:10 0.8555820057376549 3.0 HELP 3.17104458e+08 2.57e+06 4.4512e+06 0.0 20.0 5455 68.64
10:33:15 0.6500640908258561 3.0 HELP 3.65695563e+08 2.57e+06 4.568287e+06 0.0 20.0 5455 68.64
10:33:20 0.9625221265946408 5.0 HELP 3.65722955e+08 2.582624e+06 4.583055e+06 0.0 20.0 5455 68.64
10:33:25 0.5755966550692792 5.0 HELP 3.71565448e+08 2.595248e+06 4.790569e+06 0.0 22.0 5455 68.64
10:33:30 0.7493133125801135 4.0 HELP 3.92522657e+08 2.595248e+06 4.790569e+06 0.0 22.0 5455 68.64
10:33:35 0.8398950131233596 4.0 HELP 4.20336833e+08 2.595248e+06 4.887146e+06 0.0 22.0 5455 68.64
10:33:40 0.8387963132515412 3.0 HELP 4.36539338e+08 2.595248e+06 4.887146e+06 0.0 22.0 5455 68.64
10:33:45 0.9696636757614601 3.0 HELP 4.61177858e+08 2.595248e+06 4.931781e+06 0.0 22.0 5455 68.64
10:33:51 0.9598974546786303 4.0 HELP 4.6817613e+08 2.595248e+06 5.009998e+06 0.0 23.0 5455 68.64
10:33:56 0.6691692608191417 3.0 HELP 4.89339405e+08 2.595248e+06 5.077183e+06 0.0 23.0 5455 68.64
10:34:01 0.7333821644387475 3.0 HELP 5.11389538e+08 2.595248e+06 5.181686e+06 0.0 24.0 5455 68.64
10:34:06 0.9857779405481292 4.0 HELP 5.29714362e+08 2.595248e+06 5.22473e+06 0.0 24.0 5455 68.64
10:34:11 0.9054507721418543 4.0 HELP 5.44641086e+08 2.595248e+06 5.307829e+06 0.0 24.0 5455 68.64
10:34:16 0.6901055972654582 3.0 HELP 5.60027507e+08 2.595248e+06 5.451696e+06 0.0 25.0 5455 68.64
10:34:21 0.9700299090520662 4.0 HELP 5.79875552e+08 2.595248e+06 5.497941e+06 0.0 26.0 5455 68.64
