prompt_tokens,generation_tokens,ttft,generation_time,user_id,question_id,launch_time,finish_time
11116,33,0.25618481636047363,0.09766840934753418,1,1,1787132086.520879,1787132086.8747327
11174,42,0.18230104446411133,0.12103509902954102,1,2,1787132102.5568995,1787132102.8602366
13059,2,0.29553723335266113,0.0016062259674072266,2,1,1787132087.0219846,1787132087.319129
13089,25,0.2692391872406006,0.07075214385986328,2,2,1787132103.064831,1787132103.404823
9496,2,0.22083139419555664,0.001588582992553711,3,1,1787132087.522987,1787132087.7454078
9528,22,0.19649338722229004,0.06224822998046875,3,2,1787132103.570355,1787132103.8290973
13229,2,0.2943713665008545,0.0016713142395019531,4,1,1787132088.0238428,1787132088.3198864
13264,64,0.2725253105163574,0.20104336738586426,4,2,1787132104.0760665,1787132104.5496361
11719,2,0.25621557235717773,0.0015709400177001953,5,1,1787132088.5247831,1787132088.7825706
11757,33,0.23849225044250488,0.09796762466430664,5,2,1787132104.5769186,1787132104.9133797
9656,10,0.22078275680541992,0.018857240676879883,6,1,1787132089.0256886,1787132089.2653294
9700,52,0.13477349281311035,0.16143131256103516,6,2,1787132105.0924063,1787132105.3886118
12303,6,0.2786226272583008,0.0021882057189941406,7,1,1787132089.5264692,1787132089.8072808
12334,53,0.16584372520446777,0.16510462760925293,7,2,1787132105.5984876,1787132105.9294367
10253,28,0.21892213821411133,0.0814673900604248,8,1,1787132090.0276115,1787132090.3280022
10307,10,0.14979338645935059,0.01690530776977539,8,2,1787132106.104304,1787132106.2710037
8906,2,0.20432233810424805,0.0015790462493896484,9,1,1787132090.5286763,1787132090.7345784
8933,64,0.13219070434570312,0.19408130645751953,9,2,1787132106.6099634,1787132106.9362364
8284,33,0.18456363677978516,0.10010004043579102,10,1,1787132091.0296352,1787132091.3142996
8345,2,0.13157057762145996,0.0016064643859863281,10,2,1787132107.1155365,1787132107.2487144
9383,14,0.20993471145629883,0.03859448432922363,11,1,1787132091.5309103,1787132091.7794404
9425,36,0.14416193962097168,0.1035768985748291,11,2,1787132107.6208246,1787132107.8685641
8281,42,0.1987316608428955,0.18154644966125488,12,1,1787132092.0319574,1787132092.4122362
8350,2,0.128584623336792,0.0015969276428222656,12,2,1787132108.1264448,1787132108.2566276
14039,4,0.29524922370910645,0.002002716064453125,13,1,1787132092.5328,1787132092.8300526
14074,2,0.1881392002105713,0.0015676021575927734,13,2,1787132108.6319544,1787132108.821662
10372,2,0.22385001182556152,0.0015482902526855469,14,1,1787132093.03363,1787132093.259029
10398,18,0.19356846809387207,0.06638836860656738,14,2,1787132109.0375307,1787132109.2974885
10093,11,0.2234179973602295,0.019651412963867188,15,1,1787132093.5346658,1787132093.7777362
10134,5,0.1778867244720459,0.002154827117919922,15,2,1787132109.541344,1787132109.7213862
8489,10,0.19004011154174805,0.0189056396484375,16,1,1787132094.03578,1787132094.244727
8527,20,0.1910548210144043,0.05121183395385742,16,2,1787132110.046813,1787132110.2890804
8810,10,0.2022562026977539,0.01824808120727539,17,1,1787132094.5371118,1787132094.757617
8849,4,0.19728326797485352,0.0015902519226074219,17,2,1787132110.55245,1787132110.751324
11424,55,0.3016793727874756,0.24164390563964844,18,1,1787132095.0383317,1787132095.581656
11506,47,0.24297857284545898,0.13817787170410156,18,2,1787132111.057891,1787132111.4390483
12757,2,0.34673619270324707,0.0014073848724365234,19,1,1787132095.5394156,1787132095.88756
12796,50,0.2676262855529785,0.1462266445159912,19,2,1787132111.5639205,1787132111.9777741
8665,10,0.18873834609985352,0.024024486541748047,20,1,1787132096.0404596,1787132096.2532234
8706,45,0.19666790962219238,0.13330626487731934,20,2,1787132112.064628,1787132112.3946028
13813,10,0.2977149486541748,0.012176036834716797,21,1,1787132096.5417864,1787132096.8516781
13847,10,0.18133950233459473,0.014540910720825195,21,2,1787132112.57932,1787132112.775201
11088,18,0.235121488571167,0.04190254211425781,22,1,1787132097.0427544,1787132097.3197794
11136,30,0.16148591041564941,0.08686995506286621,22,2,1787132113.0846894,1787132113.3330462
