prompt_tokens,generation_tokens,ttft,generation_time,user_id,question_id,launch_time,finish_time
11116,33,0.27563905715942383,0.10140848159790039,1,1,1787134796.928278,1787134797.3053262
11174,42,0.3589456081390381,0.1950531005859375,1,2,1787134812.9489865,1787134813.5029862
13059,2,0.3136887550354004,0.0016388893127441406,2,1,1787134797.4290435,1787134797.7443721
13089,25,0.38829779624938965,0.21895742416381836,2,2,1787134813.449662,1787134814.0569184
9496,2,0.22784972190856934,0.0016181468963623047,3,1,1787134797.9296844,1787134798.1591535
9528,22,0.37235140800476074,0.10314059257507324,3,2,1787134813.9536612,1787134814.4291542
13229,2,0.31247782707214355,0.00160980224609375,4,1,1787134798.4302368,1787134798.7443252
13264,64,0.3789961338043213,0.6014566421508789,4,2,1787134814.459601,1787134815.4400544
11719,2,0.27611327171325684,0.0016155242919921875,5,1,1787134798.9307835,1787134799.2085128
11757,33,0.3702516555786133,0.20602917671203613,5,2,1787134814.960395,1787134815.5366766
9656,10,0.23348093032836914,0.028229475021362305,6,1,1787134799.4313636,1787134799.6930747
9700,52,0.3674190044403076,0.22075128555297852,6,2,1787134815.4637718,1787134816.0519423
12303,6,0.28441882133483887,0.012714624404907227,7,1,1787134799.9319308,1787134800.2290654
12334,53,0.3731989860534668,0.23689985275268555,7,2,1787134815.9668612,1787134816.5769608
10253,28,0.23481297492980957,0.09911131858825684,8,1,1787134800.4324574,1787134800.7663827
10307,10,0.35707855224609375,0.07342171669006348,8,2,1787134816.4698923,1787134816.9003932
8906,2,0.2120952606201172,0.0016033649444580078,9,1,1787134800.9330277,1787134801.146727
8933,64,0.3523252010345459,0.27208852767944336,9,2,1787134816.9755871,1787134817.6000016
8284,33,0.18948793411254883,0.11659097671508789,10,1,1787134801.433716,1787134801.7397957
8345,2,0.34897780418395996,0.012192487716674805,10,2,1787134817.4775941,1787134817.8387654
9383,14,0.22668957710266113,0.0408329963684082,11,1,1787134801.934177,1787134802.2017007
9425,36,0.3632545471191406,0.19947195053100586,11,2,1787134817.9827826,1787134818.5455098
8281,42,0.1832888126373291,0.1522655487060547,12,1,1787134802.4348245,1787134802.7703793
8350,2,0.3499295711517334,0.036974191665649414,12,2,1787134818.4835873,1787134818.870492
14039,4,0.3177976608276367,0.002034902572631836,13,1,1787134802.9353218,1787134803.255155
14074,2,0.39894795417785645,0.09356927871704102,13,2,1787134818.9887645,1787134819.4812825
10372,2,0.24190282821655273,0.00165557861328125,14,1,1787134803.4359992,1787134803.6795588
10398,18,0.34198451042175293,0.10496878623962402,14,2,1787134819.491933,1787134819.9388871
10093,11,0.23894810676574707,0.028017520904541016,15,1,1787134803.9365795,1787134804.2035456
10134,5,0.3600316047668457,0.05878162384033203,15,2,1787134819.9994884,1787134820.4183023
8489,10,0.19486188888549805,0.04166269302368164,16,1,1787134804.4370534,1787134804.6735787
8527,20,0.36083459854125977,0.17093610763549805,16,2,1787134820.505552,1787134821.037324
8810,10,0.21322274208068848,0.027170658111572266,17,1,1787134804.9378505,1787134805.1782446
8849,4,0.19286417961120605,0.002738475799560547,17,2,1787134821.0067823,1787134821.2023854
11424,55,0.2671546936035156,0.17811989784240723,18,1,1787134805.4384894,1787134805.8837652
