prompt_tokens,generation_tokens,ttft,generation_time,user_id,question_id,launch_time,finish_time
11116,33,0.2512032985687256,0.09507465362548828,1,1,1787028296.5026534,1787028296.8489318
11174,42,0.2354276180267334,0.17515945434570312,1,2,1787028312.5325248,1787028312.9431129
13059,2,0.2982313632965088,0.0016281604766845703,2,1,1787028297.004336,1787028297.3041966
13089,25,0.1845402717590332,0.10546660423278809,2,2,1787028313.0402715,1787028313.330279
9496,2,0.22285223007202148,0.0015208721160888672,3,1,1787028297.5057085,1787028297.7300825
9528,22,0.21272563934326172,0.10975146293640137,3,2,1787028313.5462432,1787028313.868721
13229,2,0.3036508560180664,0.001590728759765625,4,1,1787028298.006531,1787028298.3117735
13264,64,0.20582914352416992,0.1909959316253662,4,2,1787028314.0523858,1787028314.4492116
11719,2,0.26117873191833496,0.0014481544494628906,5,1,1787028298.5075102,1787028298.7701378
11757,33,0.16610217094421387,0.09012508392333984,5,2,1787028314.5580046,1787028314.8142326
9656,10,0.22802138328552246,0.017603397369384766,6,1,1787028299.0084906,1787028299.254116
9700,52,0.1575167179107666,0.15395784378051758,6,2,1787028315.0636244,1787028315.3750997
12303,6,0.2841770648956299,0.0018258094787597656,7,1,1787028299.5094786,1787028299.7954824
12334,53,0.1429591178894043,0.15618371963500977,7,2,1787028315.5696516,1787028315.868795
10253,28,0.22836685180664062,0.08711767196655273,8,1,1787028300.010468,1787028300.3259532
10307,10,0.11172151565551758,0.0171811580657959,8,2,1787028316.0753586,1787028316.2042623
8906,2,0.21609067916870117,0.0015935897827148438,9,1,1787028300.5114594,1787028300.729144
8933,64,0.14661622047424316,0.192474365234375,9,2,1787028316.580819,1787028316.91991
8284,33,0.19127392768859863,0.10500144958496094,10,1,1787028301.012374,1787028301.30865
8345,2,0.14344000816345215,0.0015761852264404297,10,2,1787028317.086537,1787028317.2315536
9383,14,0.22596240043640137,0.0350344181060791,11,1,1787028301.5130377,1787028301.774035
9425,36,0.14365649223327637,0.10211372375488281,11,2,1787028317.5921257,1787028317.8378966
8281,42,0.21215415000915527,0.22458505630493164,12,1,1787028302.0138543,1787028302.4505947
8350,2,0.13017058372497559,0.0015749931335449219,12,2,1787028318.097391,1787028318.229137
14039,4,0.30008864402770996,0.002090930938720703,13,1,1787028302.5149047,1787028302.8170853
14074,2,0.18755745887756348,0.0016453266143798828,13,2,1787028318.6026168,1787028318.7918203
10372,2,0.2282109260559082,0.0014925003051757812,14,1,1787028303.016588,1787028303.2462919
10398,18,0.14962983131408691,0.04155850410461426,14,2,1787028319.1078398,1787028319.2990289
10093,11,0.23074769973754883,0.019145727157592773,15,1,1787028303.5176144,1787028303.7675085
10134,5,0.14686203002929688,0.0015833377838134766,15,2,1787028319.6131718,1787028319.761618
8489,10,0.1934807300567627,0.01894974708557129,16,1,1787028304.0183852,1787028304.2308166
8527,20,0.13141584396362305,0.05083751678466797,16,2,1787028320.018453,1787028320.200707
