prompt_tokens,generation_tokens,ttft,generation_time,user_id,question_id,launch_time,finish_time
11116,33,0.3102884292602539,0.09901213645935059,1,1,1787028157.0935762,1787028157.502877
11174,42,0.22395110130310059,0.12982892990112305,1,2,1787028173.1257381,1787028173.479519
13059,2,0.3147134780883789,0.0015671253204345703,2,1,1787028157.5946844,1787028157.9109657
13089,25,0.20084547996520996,0.06193733215332031,2,2,1787028173.634081,1787028173.8968642
9496,2,0.23381352424621582,0.0015883445739746094,3,1,1787028158.095784,1787028158.3311868
9528,22,0.14869928359985352,0.056047677993774414,3,2,1787028174.1418993,1787028174.346647
13229,2,0.31288743019104004,0.0016319751739501953,4,1,1787028158.5968215,1787028158.911342
13264,64,0.19290733337402344,0.19696331024169922,4,2,1787028174.6476958,1787028175.0375671
11719,2,0.28389406204223633,0.0015947818756103516,5,1,1787028159.0978782,1787028159.3833678
11757,33,0.17901015281677246,0.09781479835510254,5,2,1787028175.1534977,1787028175.4303236
9656,10,0.23471665382385254,0.027001142501831055,6,1,1787028159.5989819,1787028159.8607001
9700,52,0.19847846031188965,0.1684713363647461,6,2,1787028175.660123,1787028176.0270739
12303,6,0.28811120986938477,0.009827375411987305,7,1,1787028160.100216,1787028160.398155
12334,53,0.2248833179473877,0.1559152603149414,7,2,1787028176.1667042,1787028176.5475042
10253,28,0.23943400382995605,0.1003425121307373,8,1,1787028160.601248,1787028160.9410253
10307,10,0.14689970016479492,0.0176546573638916,8,2,1787028176.6723666,1787028176.836922
8906,2,0.21790313720703125,0.001604318618774414,9,1,1787028161.102373,1787028161.321881
8933,64,0.14652419090270996,0.2004082202911377,9,2,1787028177.1780415,1787028177.5249746
8284,33,0.18825817108154297,0.11941981315612793,10,1,1787028161.6036227,1787028161.9113011
8345,2,0.147444486618042,0.0015909671783447266,10,2,1787028177.6818337,1787028177.8308697
9383,14,0.23051667213439941,0.04401373863220215,11,1,1787028162.104436,1787028162.378967
9425,36,0.16391801834106445,0.10277056694030762,11,2,1787028178.1854699,1787028178.4521592
8281,42,0.1855912208557129,0.1483619213104248,12,1,1787028162.6055577,1787028162.9395115
8350,2,0.15105891227722168,0.0015015602111816406,12,2,1787028178.6889834,1787028178.8415446
14039,4,0.3188669681549072,0.002216815948486328,13,1,1787028163.1076248,1787028163.4287093
14074,2,0.1921217441558838,0.0016069412231445312,13,2,1787028179.1926942,1787028179.3864236
10372,2,0.24787211418151855,0.0016093254089355469,14,1,1787028163.6088777,1787028163.8583598
10398,18,0.14978766441345215,0.04213213920593262,14,2,1787028179.6948905,1787028179.886811
10093,11,0.25125670433044434,0.02985239028930664,15,1,1787028164.1101449,1787028164.3912544
10134,5,0.14963030815124512,0.0017876625061035156,15,2,1787028180.1974242,1787028180.348843
8489,10,0.1939847469329834,0.036011457443237305,16,1,1787028164.6114469,1787028164.8414438
8527,20,0.13783645629882812,0.05142807960510254,16,2,1787028180.6996868,1787028180.888952
