prompt_tokens,generation_tokens,ttft,generation_time,user_id,question_id,launch_time,finish_time
11116,33,0.2672462463378906,0.0990452766418457,1,1,1787134658.9715548,1787134659.337847
11174,42,0.29967427253723145,0.16007542610168457,1,2,1787134675.0111606,1787134675.470911
13059,2,0.296306848526001,0.0016286373138427734,2,1,1787134659.4729555,1787134659.7708921
13089,25,0.340207576751709,0.17192888259887695,2,2,1787134675.5126295,1787134676.0247667
9496,2,0.2114260196685791,0.0015714168548583984,3,1,1787134659.9736285,1787134660.186627
9528,22,0.29505348205566406,0.07441997528076172,3,2,1787134676.0356169,1787134676.4050908
13229,2,0.2787361145019531,0.0016016960144042969,4,1,1787134660.4746652,1787134660.755004
13264,64,0.31563329696655273,0.2523458003997803,4,2,1787134676.541762,1787134677.1097424
11719,2,0.24672460556030273,0.0016021728515625,5,1,1787134660.9757829,1787134661.2241101
11757,33,0.316530704498291,0.15963077545166016,5,2,1787134677.0430257,1787134677.5191884
9656,10,0.21426630020141602,0.01771378517150879,6,1,1787134661.4766836,1787134661.708665
9700,52,0.31185436248779297,0.22675418853759766,6,2,1787134677.5536337,1787134678.0922434
12303,6,0.25966739654541016,0.002290487289428711,7,1,1787134661.9778688,1787134662.2398272
12334,53,0.27167701721191406,0.1561284065246582,7,2,1787134678.0549514,1787134678.4827576
10253,28,0.19657230377197266,0.08125615119934082,8,1,1787134662.4789152,1787134662.7567446
10307,10,0.26735734939575195,0.0160067081451416,8,2,1787134678.5657065,1787134678.8490713
8906,2,0.1767735481262207,0.0015730857849121094,9,1,1787134662.980213,1787134663.1585603
8933,64,0.29108381271362305,0.22164678573608398,9,2,1787134679.0716822,1787134679.584414
8284,33,0.1632399559020996,0.10068368911743164,10,1,1787134663.4811904,1787134663.745115
8345,2,0.28368449211120605,0.013234615325927734,10,2,1787134679.5729792,1787134679.8698993
9383,14,0.18841004371643066,0.031769752502441406,11,1,1787134663.9824462,1787134664.2026272
9425,36,0.18428993225097656,0.24486160278320312,11,2,1787134679.9830174,1787134680.41217
8281,42,0.18375682830810547,0.18807339668273926,12,1,1787134664.4835894,1787134664.855423
8350,2,0.1694037914276123,0.0015773773193359375,12,2,1787134680.48511,1787134680.6560917
14039,4,0.2671339511871338,0.0022554397583007812,13,1,1787134664.985025,1787134665.254415
14074,2,0.26171064376831055,0.06976914405822754,13,2,1787134681.0006568,1787134681.332137
10372,2,0.20464015007019043,0.0016160011291503906,14,1,1787134665.4863496,1787134665.6926064
10398,18,0.13601160049438477,0.1847398281097412,14,2,1787134681.508314,1787134681.829066
10093,11,0.20028042793273926,0.01859259605407715,15,1,1787134665.987499,1787134666.206373
10134,5,0.25171804428100586,0.1086585521697998,15,2,1787134682.015504,1787134682.375881
8489,10,0.1690685749053955,0.017813444137573242,16,1,1787134666.489249,1787134666.6761322
8527,20,0.16634726524353027,0.22507500648498535,16,2,1787134682.5215604,1787134682.9129837
8810,10,0.18077850341796875,0.017391443252563477,17,1,1787134666.990424,1787134667.188595
8849,4,0.18270587921142578,0.0014760494232177734,17,2,1787134683.0257044,1787134683.209887
11424,55,0.28746724128723145,0.2971675395965576,18,1,1787134667.4917512,1787134668.0763872
11506,47,0.22058892250061035,0.13700580596923828,18,2,1787134683.5308747,1787134683.8884704
12757,2,0.316272497177124,0.0015726089477539062,19,1,1787134667.992907,1787134668.310753
12796,50,0.24090194702148438,0.14671063423156738,19,2,1787134684.0365534,1787134684.4241664
8665,10,0.17029428482055664,0.02055835723876953,20,1,1787134668.4942684,1787134668.6851218
8706,45,0.17392182350158691,0.13306427001953125,20,2,1787134684.541917,1787134684.848904
13813,10,0.2636697292327881,0.012108564376831055,21,1,1787134668.9956646,1787134669.2714436
13847,10,0.15840601921081543,0.012541770935058594,21,2,1787134685.0475557,1787134685.2185044
11088,18,0.21496844291687012,0.0413823127746582,22,1,1787134669.497002,1787134669.7533534
11136,30,0.2190248966217041,0.08072042465209961,22,2,1787134685.5529416,1787134685.8526874
8260,22,0.15978765487670898,0.0577392578125,23,1,1787134669.9982235,1787134670.2157514
8310,55,0.18272066116333008,0.16372942924499512,23,2,1787134686.0590365,1787134686.4054873
10080,2,0.19487738609313965,0.0016021728515625,24,1,1787134670.499877,1787134670.6963575
10107,8,0.246429443359375,0.02388787269592285,24,2,1787134686.5645156,1787134686.8348336
8967,3,0.17667078971862793,0.0015633106231689453,25,1,1787134671.0011327,1787134671.179368
8996,2,0.22975826263427734,0.0016124248504638672,25,2,1787134687.0700083,1787134687.3013802
8711,6,0.16817331314086914,0.005518198013305664,26,1,1787134671.5023544,1787134671.6760466
8750,64,0.20002508163452148,0.1918506622314453,26,2,1787134687.5754755,1787134687.9673524
9436,64,0.18937015533447266,0.19374346733093262,27,1,1787134672.0034103,1787134672.3865247
9527,8,0.21227240562438965,0.009834051132202148,27,2,1787134688.0810902,1787134688.3031974
8706,42,0.165787935256958,0.12384986877441406,28,1,1787134672.5043116,1787134672.7939503
8772,29,0.1875476837158203,0.08139705657958984,28,2,1787134688.5866125,1787134688.855558
13022,24,0.24707913398742676,0.060172080993652344,29,1,1787134673.0056903,1787134673.3129423
13077,24,0.2840425968170166,0.05918002128601074,29,2,1787134689.0718238,1787134689.4150474
14417,4,0.27428245544433594,0.0016298294067382812,30,1,1787134673.5071156,1787134673.783029
14444,28,0.30571889877319336,0.07124519348144531,30,2,1787134689.5772889,1787134689.9542542
8574,19,0.21890020370483398,0.08296799659729004,31,1,1787134674.0083728,1787134674.310242
8626,2,0.19420361518859863,0.0015497207641601562,31,2,1787134690.082925,1787134690.2786796
8180,21,0.170729398727417,0.053870439529418945,32,1,1787134674.509707,1787134674.7343075
8224,5,0.1846318244934082,0.0027060508728027344,32,2,1787134690.5883114,1787134690.77565
8696,11,0.33367085456848145,0.02242755889892578,33,1,1787134675.016524,1787134675.3726234
8731,31,0.1981523036956787,0.0882866382598877,33,2,1787134691.0937595,1787134691.3801994
12646,26,0.4494161605834961,0.07941794395446777,34,1,1787134675.5180197,1787134676.0468547
12701,8,0.3293483257293701,0.018744468688964844,34,2,1787134691.5991318,1787134691.9472253
8339,10,0.30935192108154297,0.01936483383178711,35,1,1787134676.0406523,1787134676.3693702
