prompt_tokens,generation_tokens,ttft,generation_time,user_id,question_id,launch_time,finish_time
11116,33,0.2557852268218994,0.09742045402526855,1,1,1787030424.7163591,1787030425.0695655
11174,42,0.32962608337402344,0.1607673168182373,1,2,1787030440.7569413,1787030441.2473354
13059,2,0.29398107528686523,0.0015034675598144531,2,1,1787030425.2175248,1787030425.5130103
13089,25,0.368088960647583,0.17220091819763184,2,2,1787030441.2651532,1787030441.805444
9496,2,0.21798396110534668,0.001598358154296875,3,1,1787030425.718635,1787030425.9382179
9528,22,0.3249852657318115,0.07487940788269043,3,2,1787030441.7673976,1787030442.167263
13229,2,0.2980318069458008,0.0016143321990966797,4,1,1787030426.2199717,1787030426.5196185
13264,64,0.3503262996673584,0.2504441738128662,4,2,1787030442.2782397,1787030442.8790112
11719,2,0.25470614433288574,0.0015990734100341797,5,1,1787030426.7215066,1787030426.9778125
11757,33,0.3529238700866699,0.16714024543762207,5,2,1787030442.7799222,1787030443.2999868
9656,10,0.21378469467163086,0.01596689224243164,6,1,1787030427.2225366,1787030427.452289
9700,52,0.3512601852416992,0.22555971145629883,6,2,1787030443.2859285,1787030443.8627489
12303,6,0.2773571014404297,0.0018901824951171875,7,1,1787030427.7236073,1787030428.0028555
12334,53,0.364840030670166,0.19954752922058105,7,2,1787030443.7920063,1787030444.3563945
10253,28,0.21114611625671387,0.07911229133605957,8,1,1787030428.224542,1787030428.5148013
10307,10,0.3026454448699951,0.048307180404663086,8,2,1787030444.2981963,1787030444.6491497
8906,2,0.20299482345581055,0.0015730857849121094,9,1,1787030428.7256892,1787030428.930258
8933,64,0.21678757667541504,0.1912531852722168,9,2,1787030444.8084533,1787030445.2164943
8284,33,0.18821048736572266,0.09897685050964355,10,1,1787030429.2267842,1787030429.5139723
8345,2,0.1875295639038086,0.0014805793762207031,10,2,1787030445.3094199,1787030445.4984307
9383,14,0.21944165229797363,0.042400360107421875,11,1,1787030429.7280266,1787030429.989869
