prompt_tokens,generation_tokens,ttft,generation_time,user_id,question_id,launch_time,finish_time
11116,33,0.23963284492492676,0.0972294807434082,1,1,1787030149.9083853,1787030150.245248
11174,42,0.22243857383728027,0.1199488639831543,1,2,1787030165.9462261,1787030166.2886145
13059,2,0.2950303554534912,0.0015740394592285156,2,1,1787030150.4097543,1787030150.7063596
13089,25,0.26537179946899414,0.06210446357727051,2,2,1787030166.4542348,1787030166.7817118
9496,2,0.22220802307128906,0.0015714168548583984,3,1,1787030150.9108298,1787030151.13461
9528,22,0.20679950714111328,0.05534482002258301,3,2,1787030166.960131,1787030167.2222762
13229,2,0.29244256019592285,0.0015614032745361328,4,1,1787030151.411947,1787030151.705952
13264,64,0.28130316734313965,0.19153594970703125,4,2,1787030167.465657,1787030167.9384968
11719,2,0.2566337585449219,0.001573324203491211,5,1,1787030151.913053,1787030152.1712608
11757,33,0.23838353157043457,0.08816385269165039,5,2,1787030167.9665785,1787030168.2931266
9656,10,0.22744464874267578,0.01737236976623535,6,1,1787030152.414139,1787030152.6589568
9700,52,0.15048956871032715,0.15644121170043945,6,2,1787030168.4822435,1787030168.789175
12303,6,0.28615593910217285,0.0015976428985595703,7,1,1787030152.9151335,1787030153.202888
12334,53,0.1800839900970459,0.1655595302581787,7,2,1787030168.988162,1787030169.3338063
10253,28,0.2251579761505127,0.07883477210998535,8,1,1787030153.416197,1787030153.7201905
10307,10,0.14857029914855957,0.021219491958618164,8,2,1787030169.494051,1787030169.6638415
8906,2,0.20557832717895508,0.0016148090362548828,9,1,1787030153.917252,1787030154.124446
8933,64,0.14576506614685059,0.2088944911956787,9,2,1787030169.999479,1787030170.354139
8284,33,0.18952226638793945,0.10245919227600098,10,1,1787030154.418409,1787030154.7103913
8345,2,0.13151764869689941,0.0015437602996826172,10,2,1787030170.504905,1787030170.637967
9383,14,0.22443342208862305,0.03344154357910156,11,1,1787030154.9195776,1787030155.177453
9425,36,0.15337228775024414,0.12416720390319824,11,2,1787030171.0101726,1787030171.2877128
8281,42,0.20738911628723145,0.22581791877746582,12,1,1787030155.4205494,1787030155.8537571
8350,2,0.13326072692871094,0.0015187263488769531,12,2,1787030171.5158193,1787030171.6505995
14039,4,0.2958242893218994,0.0024809837341308594,13,1,1787030155.921517,1787030156.219823
14074,2,0.21047019958496094,0.0015139579772949219,13,2,1787030172.0210788,1787030172.2330637
10372,2,0.22899317741394043,0.0015916824340820312,14,1,1787030156.4228437,1787030156.6534293
10398,18,0.16469120979309082,0.04167056083679199,14,2,1787030172.4266646,1787030172.633027
10093,11,0.2329697608947754,0.017524242401123047,15,1,1787030156.9240544,1787030157.1745493
10134,5,0.21967482566833496,0.0015485286712646484,15,2,1787030172.9321122,1787030173.1533363
8489,10,0.19311881065368652,0.018330812454223633,16,1,1787030157.4253209,1787030157.6367714
8527,20,0.18998289108276367,0.049462318420410156,16,2,1787030173.4375029,1787030173.6769488
8810,10,0.2129511833190918,0.019002914428710938,17,1,1787030157.926508,1787030158.1584625
8849,4,0.20070457458496094,0.0016486644744873047,17,2,1787030173.9430566,1787030174.1454105
11424,55,0.29871392250061035,0.24190926551818848,18,1,1787030158.4276984,1787030158.9683225
11506,47,0.2487812042236328,0.1368882656097412,18,2,1787030174.4494736,1787030174.835144
12757,2,0.34279942512512207,0.0015437602996826172,19,1,1787030158.9290419,1787030159.2733858
12796,50,0.2810964584350586,0.1455516815185547,19,2,1787030174.9550161,1787030175.381665
8665,10,0.17793703079223633,0.022048234939575195,20,1,1787030159.43034,1787030159.630326
8706,45,0.1347973346710205,0.13093018531799316,20,2,1787030175.460283,1787030175.7260113
13813,10,0.293229341506958,0.01151132583618164,21,1,1787030159.931767,1787030160.2365084
13847,10,0.18738102912902832,0.010205507278442383,21,2,1787030175.9656947,1787030176.1632817
11088,18,0.22510409355163574,0.04092550277709961,22,1,1787030160.4332995,1787030160.6993299
11136,30,0.15596604347229004,0.08428502082824707,22,2,1787030176.4712226,1787030176.7114744
