prompt_tokens,generation_tokens,ttft,generation_time,user_id,question_id,launch_time,finish_time
11116,33,0.2752199172973633,0.1392974853515625,1,1,1787133168.6301894,1787133169.0447075
11174,42,0.24536490440368652,0.15886950492858887,1,2,1787133184.663001,1787133185.0672364
13059,2,0.3326597213745117,0.0018153190612792969,2,1,1787133169.1320617,1787133169.4665377
13089,25,0.24400663375854492,0.05997610092163086,2,2,1787133185.1730206,1787133185.4770043
9496,2,0.2492811679840088,0.0018186569213867188,3,1,1787133169.6338418,1787133169.8849425
9528,22,0.19047307968139648,0.05664467811584473,3,2,1787133185.679412,1787133185.9265304
13229,2,0.32074785232543945,0.0016126632690429688,4,1,1787133170.1350834,1787133170.4574447
13264,64,0.2398223876953125,0.1961832046508789,4,2,1787133186.1856105,1787133186.621617
11719,2,0.28769636154174805,0.0015988349914550781,5,1,1787133170.6361275,1787133170.9254236
11757,33,0.21738624572753906,0.10042595863342285,5,2,1787133186.6917074,1787133187.0095205
9656,10,0.24081158638000488,0.022572994232177734,6,1,1787133171.1372237,1787133171.400609
9700,52,0.20722341537475586,0.16402697563171387,6,2,1787133187.1977117,1787133187.568963
12303,6,0.2881176471710205,0.011745929718017578,7,1,1787133171.6382968,1787133171.9381614
12334,53,0.24061989784240723,0.15963268280029297,7,2,1787133187.7042224,1787133188.104476
10253,28,0.2387387752532959,0.09745311737060547,8,1,1787133172.1395688,1787133172.4757614
10307,10,0.20661163330078125,0.015960693359375,8,2,1787133188.2106624,1787133188.4332356
8906,2,0.22350740432739258,0.0016045570373535156,9,1,1787133172.6404688,1787133172.8655818
8933,64,0.16063213348388672,0.20020556449890137,9,2,1787133188.716874,1787133189.0777125
8284,33,0.19056057929992676,0.12173962593078613,10,1,1787133173.141536,1787133173.4538374
8345,2,0.14019536972045898,0.0016200542449951172,10,2,1787133189.222893,1787133189.3647091
9383,14,0.230055570602417,0.04043698310852051,11,1,1787133173.6427448,1787133173.913238
9425,36,0.15683507919311523,0.10486602783203125,11,2,1787133189.7282257,1787133189.9899278
8281,42,0.1949145793914795,0.15320825576782227,12,1,1787133174.1438985,1787133174.492022
8350,2,0.14345264434814453,0.0015835762023925781,12,2,1787133190.2342534,1787133190.3792903
14039,4,0.3198070526123047,0.002053499221801758,13,1,1787133174.6451104,1787133174.9669719
14074,2,0.19193458557128906,0.0015864372253417969,13,2,1787133190.7396414,1787133190.9331632
10372,2,0.2548947334289551,0.0017230510711669922,14,1,1787133175.146229,1787133175.4028475
10398,18,0.1370549201965332,0.04320359230041504,14,2,1787133191.2451658,1787133191.425425
10093,11,0.2409055233001709,0.028027057647705078,15,1,1787133175.6477127,1787133175.916646
10134,5,0.17083168029785156,0.0018889904022216797,15,2,1787133191.6506119,1787133191.8233333
8489,10,0.203688383102417,0.04917097091674805,16,1,1787133176.148933,1787133176.401793
8527,20,0.14366793632507324,0.050354719161987305,16,2,1787133192.1559577,1787133192.349981
