prompt_tokens,generation_tokens,ttft,generation_time,user_id,question_id,launch_time,finish_time
11116,33,0.25481176376342773,0.09279394149780273,1,1,1787134928.4278986,1787134928.7755048
11174,42,0.32192564010620117,0.16767382621765137,1,2,1787134944.4643888,1787134944.953989
13059,2,0.2994503974914551,0.001817941665649414,2,1,1787134928.9295068,1787134929.2307763
13089,25,0.3217616081237793,0.20904302597045898,2,2,1787134944.9728673,1787134945.5036728
9496,2,0.2237555980682373,0.0017158985137939453,3,1,1787134929.4319594,1787134929.6574318
9528,22,0.2339487075805664,0.14476633071899414,3,2,1787134945.4742186,1787134945.8529346
13229,2,0.28920865058898926,0.0016276836395263672,4,1,1787134929.9332724,1787134930.22411
13264,64,0.3113887310028076,0.26535820960998535,4,2,1787134945.985176,1787134946.561924
11719,2,0.2489476203918457,0.001573324203491211,5,1,1787134930.4342182,1787134930.6847398
11757,33,0.29039645195007324,0.21235394477844238,5,2,1787134946.4867296,1787134946.9894805
9656,10,0.21033072471618652,0.01733541488647461,6,1,1787134930.9352312,1787134931.162898
9700,52,0.32649874687194824,0.19751191139221191,6,2,1787134946.9972332,1787134947.521245
12303,6,0.2635498046875,0.001800537109375,7,1,1787134931.4361703,1787134931.7015216
12334,53,0.33977746963500977,0.21179795265197754,7,2,1787134947.4986093,1787134948.0501854
10253,28,0.21152400970458984,0.08027815818786621,8,1,1787134931.9372795,1787134932.2290823
10307,10,0.32019591331481934,0.04822134971618652,8,2,1787134948.0047626,1787134948.3731806
8906,2,0.18713021278381348,0.001558542251586914,9,1,1787134932.4382575,1787134932.6269472
8933,64,0.28596925735473633,0.23013973236083984,9,2,1787134948.5159163,1787134949.032026
8284,33,0.17378020286560059,0.09985089302062988,10,1,1787134932.9393091,1787134933.2129414
8345,2,0.2996234893798828,0.013174057006835938,10,2,1787134949.0171657,1787134949.3299644
9383,14,0.20674467086791992,0.03185153007507324,11,1,1787134933.440343,1787134933.6789398
9425,36,0.2337350845336914,0.23679828643798828,11,2,1787134949.5279007,1787134949.9984348
8281,42,0.1686868667602539,0.13142681121826172,12,1,1787134933.9413817,1787134934.2414963
8350,2,0.3112177848815918,0.027226686477661133,12,2,1787134950.0336714,1787134950.372117
14039,4,0.28345704078674316,0.0037016868591308594,13,1,1787134934.4423683,1787134934.72953
14074,2,0.3275012969970703,0.07037520408630371,13,2,1787134950.539793,1787134950.9376705
10372,2,0.21865510940551758,0.0016508102416992188,14,1,1787134934.9437616,1787134935.164068
10398,18,0.3254554271697998,0.07742166519165039,14,2,1787134951.0455422,1787134951.4484203
10093,11,0.20641112327575684,0.02110004425048828,15,1,1787134935.4446266,1787134935.6721385
10134,5,0.21013617515563965,0.11226868629455566,15,2,1787134951.4528735,1787134951.775279
8489,10,0.17791342735290527,0.019741535186767578,16,1,1787134935.94549,1787134936.1431458
8527,20,0.18191981315612793,0.21498847007751465,16,2,1787134951.9704478,1787134952.367357
8810,10,0.19339990615844727,0.019736528396606445,17,1,1787134936.446371,1787134936.6595085
8849,4,0.1834707260131836,0.0014858245849609375,17,2,1787134952.4766672,1787134952.661625
11424,55,0.2367076873779297,0.1742556095123291,18,1,1787134936.9476602,1787134937.3586242
11506,47,0.23460769653320312,0.14577364921569824,18,2,1787134952.982268,1787134953.3626502
12757,2,0.339432954788208,0.0014657974243164062,19,1,1787134937.448753,1787134937.7896528
12796,50,0.24745512008666992,0.1562201976776123,19,2,1787134953.4877672,1787134953.8914433
8665,10,0.18087124824523926,0.01932239532470703,20,1,1787134937.9500825,1787134938.150277
8706,45,0.19118165969848633,0.1418001651763916,20,2,1787134953.9888632,1787134954.3218458
13813,10,0.2819337844848633,0.012547492980957031,21,1,1787134938.4514225,1787134938.7459047
13847,10,0.25004029273986816,0.01228475570678711,21,2,1787134954.5043774,1787134954.7667031
11088,18,0.22733044624328613,0.04476284980773926,22,1,1787134938.9524202,1787134939.2245145
11136,30,0.22272944450378418,0.08710265159606934,22,2,1787134955.0098515,1787134955.3196845
8260,22,0.17266368865966797,0.06220078468322754,23,1,1787134939.453278,1787134939.6881433
8310,55,0.1702718734741211,0.1777362823486328,23,2,1787134955.5153203,1787134955.8633292
10080,2,0.2127234935760498,0.0015740394592285156,24,1,1787134939.9544861,1787134940.1687844
10107,8,0.21633028984069824,0.009816884994506836,24,2,1787134956.0215256,1787134956.2476735
8967,3,0.18701457977294922,0.0016083717346191406,25,1,1787134940.45543,1787134940.644054
8996,2,0.19359302520751953,0.001558542251586914,25,2,1787134956.526965,1787134956.7221172
8711,6,0.17684650421142578,0.0063304901123046875,26,1,1787134940.9562285,1787134941.1394064
8750,64,0.1844031810760498,0.20834565162658691,26,2,1787134957.0323925,1787134957.425142
9436,64,0.2030963897705078,0.20661401748657227,27,1,1787134941.4572887,1787134941.8669999
9527,8,0.20530939102172852,0.01064753532409668,27,2,1787134957.5379622,1787134957.7539198
8706,42,0.17387032508850098,0.13198232650756836,28,1,1787134941.9581523,1787134942.2640057
8772,29,0.1876523494720459,0.08683109283447266,28,2,1787134958.0435174,1787134958.3180017
13022,24,0.2653014659881592,0.06418633460998535,29,1,1787134942.459332,1787134942.7888205
13077,24,0.2720813751220703,0.06459665298461914,29,2,1787134958.5277245,1787134958.8644032
14417,4,0.2934105396270752,0.001623392105102539,30,1,1787134942.9604905,1787134943.2555254
14444,28,0.29439640045166016,0.07565021514892578,30,2,1787134959.0330143,1787134959.4030619
8574,19,0.17753028869628906,0.050951480865478516,31,1,1787134943.4617965,1787134943.6902795
8626,2,0.18523859977722168,0.0015363693237304688,31,2,1787134959.5386806,1787134959.7254562
8180,21,0.17237544059753418,0.057537078857421875,32,1,1787134943.9630692,1787134944.1929824
