prompt_tokens,generation_tokens,ttft,generation_time,user_id,question_id,launch_time,finish_time
11116,33,0.30808520317077637,0.09930300712585449,1,1,1787030841.02762,1787030841.4350088
11174,42,0.3566288948059082,0.19447875022888184,1,2,1787030857.0677755,1787030857.6188838
13059,2,0.32889223098754883,0.0017902851104736328,2,1,1787030841.5292315,1787030841.8599148
13089,25,0.3957946300506592,0.23487067222595215,2,2,1787030857.5690415,1787030858.1997077
9496,2,0.23295259475708008,0.0015461444854736328,3,1,1787030842.0306287,1787030842.2651281
9528,22,0.3351101875305176,0.10508513450622559,3,2,1787030858.0772052,1787030858.5174015
13229,2,0.31270837783813477,0.0015037059783935547,4,1,1787030842.531556,1787030842.8457687
13264,64,0.34566783905029297,0.6043233871459961,4,2,1787030858.589949,1787030859.539941
11719,2,0.2823452949523926,0.0015118122100830078,5,1,1787030843.0325906,1787030843.3164485
11757,33,0.34221434593200684,0.20254969596862793,5,2,1787030859.0916278,1787030859.6363924
9656,10,0.23597931861877441,0.02732539176940918,6,1,1787030843.5336049,1787030843.7969103
9700,52,0.3587377071380615,0.2190699577331543,6,2,1787030859.5985055,1787030860.1763139
12303,6,0.2791600227355957,0.010234355926513672,7,1,1787030844.034697,1787030844.3240921
12334,53,0.35220837593078613,0.23677325248718262,7,2,1787030860.106176,1787030860.6951582
10253,28,0.24036836624145508,0.10056352615356445,8,1,1787030844.535716,1787030844.8766487
10307,10,0.3252379894256592,0.07193207740783691,8,2,1787030860.6121726,1787030861.0093434
8906,2,0.23054718971252441,0.00153350830078125,9,1,1787030845.0368695,1787030845.268951
8933,64,0.3028242588043213,0.31191587448120117,9,2,1787030861.123133,1787030861.737874
8284,33,0.1951305866241455,0.12395739555358887,10,1,1787030845.53829,1787030845.8573787
8345,2,0.3395857810974121,0.013907909393310547,10,2,1787030861.624752,1787030861.9782462
9383,14,0.23655200004577637,0.042406320571899414,11,1,1787030846.0395849,1787030846.318544
9425,36,0.36052989959716797,0.20186972618103027,11,2,1787030862.1372006,1787030862.699601
8281,42,0.18961095809936523,0.15341758728027344,12,1,1787030846.540612,1787030846.8836412
8350,2,0.3497624397277832,0.043846845626831055,12,2,1787030862.6397352,1787030863.0333455
14039,4,0.3139016628265381,0.002267122268676758,13,1,1787030847.0418546,1787030847.358024
14074,2,0.3149983882904053,0.08618330955505371,13,2,1787030863.0509083,1787030863.452091
10372,2,0.23479485511779785,0.0015823841094970703,14,1,1787030847.54316,1787030847.779538
10398,18,0.2505073547363281,0.17420387268066406,14,2,1787030863.5572703,1787030863.9819822
10093,11,0.23764276504516602,0.030768871307373047,15,1,1787030848.0443351,1787030848.3127475
10134,5,0.23449921607971191,0.13675737380981445,15,2,1787030864.0638833,1787030864.4351404
8489,10,0.1908245086669922,0.04240083694458008,16,1,1787030848.5455258,1787030848.778752
8527,20,0.20001912117004395,0.26793575286865234,16,2,1787030864.5700347,1787030865.0379906
8810,10,0.21437811851501465,0.034838199615478516,17,1,1787030849.0465963,1787030849.2958136
8849,4,0.20578408241271973,0.004206418991088867,17,2,1787030865.0762136,1787030865.2862046
11424,55,0.26874756813049316,0.1780681610107422,18,1,1787030849.5478508,1787030849.994667
11506,47,0.27606201171875,0.1585073471069336,18,2,1787030865.5816479,1787030866.0162182
12757,2,0.2975497245788574,0.0016090869903564453,19,1,1787030850.0490184,1787030850.348178
12796,50,0.2899298667907715,0.16248130798339844,19,2,1787030866.0870676,1787030866.5394793
8665,10,0.18283939361572266,0.0376286506652832,20,1,1787030850.550212,1787030850.770681
8706,45,0.1989881992340088,0.15416860580444336,20,2,1787030866.5926757,1787030866.9458332
13813,10,0.3161814212799072,0.02935028076171875,21,1,1787030851.0516045,1787030851.397137
13847,10,0.3193323612213135,0.024587154388427734,21,2,1787030867.0983877,1787030867.4423082
11088,18,0.26177477836608887,0.049588918685913086,22,1,1787030851.5531018,1787030851.864466
11136,30,0.2594263553619385,0.10350394248962402,22,2,1787030867.6039948,1787030867.966926
8260,22,0.1778395175933838,0.09076762199401855,23,1,1787030852.0543244,1787030852.3229325
8310,55,0.18689894676208496,0.19963645935058594,23,2,1787030868.1093864,1787030868.4959228
10080,2,0.23278236389160156,0.0016398429870605469,24,1,1787030852.5555787,1787030852.7900014
10107,8,0.23968029022216797,0.02716207504272461,24,2,1787030868.6155229,1787030868.882366
8967,3,0.20416617393493652,0.0019199848175048828,25,1,1787030853.056903,1787030853.2629895
8996,2,0.21772170066833496,0.0016126632690429688,25,2,1787030869.1211185,1787030869.3404536
8711,6,0.18875837326049805,0.01554250717163086,26,1,1787030853.558205,1787030853.7625065
8750,64,0.20700645446777344,0.22936320304870605,26,2,1787030869.6266873,1787030870.0630577
9436,64,0.2285449504852295,0.2159137725830078,27,1,1787030854.0595055,1787030854.503965
9527,8,0.22580361366271973,0.02105879783630371,27,2,1787030870.1322744,1787030870.3791375
8706,42,0.18980693817138672,0.15296721458435059,28,1,1787030854.560902,1787030854.903677
8772,29,0.20566272735595703,0.09506440162658691,28,2,1787030870.6379814,1787030870.9387097
13022,24,0.29935646057128906,0.07383346557617188,29,1,1787030855.0620968,1787030855.4352872
13077,24,0.3048245906829834,0.07420825958251953,29,2,1787030871.1231737,1787030871.5022073
14417,4,0.3292417526245117,0.0017917156219482422,30,1,1787030855.563583,1787030855.8946168
14444,28,0.3268446922302246,0.08959126472473145,30,2,1787030871.62816,1787030872.0445964
8574,19,0.19225168228149414,0.07239890098571777,31,1,1787030856.0649412,1787030856.3295922
8626,2,0.20189905166625977,0.0015218257904052734,31,2,1787030872.133471,1787030872.3368926
8180,21,0.1788034439086914,0.07763504981994629,32,1,1787030856.5661862,1787030856.8226256
8224,5,0.19045710563659668,0.012722969055175781,32,2,1787030872.639001,1787030872.8421817
8696,11,0.4055521488189697,0.03683066368103027,33,1,1787030857.073132,1787030857.5155153
8731,31,0.2070021629333496,0.11036348342895508,33,2,1787030873.1443915,1787030873.461758
