prompt_tokens,generation_tokens,ttft,generation_time,user_id,question_id,launch_time,finish_time
11116,33,0.28385329246520996,0.09390711784362793,1,1,1787028577.120621,1787028577.4983819
11174,42,0.2397472858428955,0.12737560272216797,1,2,1787028593.1516826,1787028593.5188062
13059,2,0.30025696754455566,0.0016818046569824219,2,1,1787028577.6222868,1787028577.9242265
13089,25,0.19281673431396484,0.06257867813110352,2,2,1787028593.6561003,1787028593.9114964
9496,2,0.21802616119384766,0.0015561580657958984,3,1,1787028578.123764,1787028578.3433473
9528,22,0.1662914752960205,0.06156182289123535,3,2,1787028594.1586857,1787028594.3865397
13229,2,0.29738593101501465,0.0016369819641113281,4,1,1787028578.62481,1787028578.9238334
13264,64,0.19679975509643555,0.2005608081817627,4,2,1787028594.6612465,1787028595.0586078
11719,2,0.26073551177978516,0.0016901493072509766,5,1,1787028579.1258836,1787028579.3883097
11757,33,0.1745586395263672,0.10862350463867188,5,2,1787028595.1641634,1787028595.4473462
9656,10,0.21595191955566406,0.017400741577148438,6,1,1787028579.6265,1787028579.8598533
9700,52,0.1680757999420166,0.17619824409484863,6,2,1787028595.666665,1787028596.0109398
12303,6,0.28285837173461914,0.001970052719116211,7,1,1787028580.1270745,1787028580.4119039
12334,53,0.21005678176879883,0.2979919910430908,7,2,1787028596.1692152,1787028596.6772647
10253,28,0.22278404235839844,0.07849764823913574,8,1,1787028580.627622,1787028580.9289045
10307,10,0.16756653785705566,0.016762733459472656,8,2,1787028596.66998,1787028596.8543098
8906,2,0.2073040008544922,0.0015614032745361328,9,1,1787028581.1282153,1787028581.3370814
8933,64,0.13883066177368164,0.1943349838256836,9,2,1787028597.1749463,1787028597.5081127
8284,33,0.1911027431488037,0.10251283645629883,10,1,1787028581.628757,1787028581.9223733
8345,2,0.18851280212402344,0.0015876293182373047,10,2,1787028597.67771,1787028597.8678114
9383,14,0.22319984436035156,0.03299522399902344,11,1,1787028582.1293488,1787028582.3855448
9425,36,0.21969985961914062,0.10216546058654785,11,2,1787028598.1802082,1787028598.5020745
8281,42,0.20592856407165527,0.17906713485717773,12,1,1787028582.6299412,1787028583.0149376
8350,2,0.13298988342285156,0.0014655590057373047,12,2,1787028598.6828437,1787028598.8172996
14039,4,0.30061888694763184,0.0023193359375,13,1,1787028583.130488,1787028583.4334269
14074,2,0.18754220008850098,0.001512765884399414,13,2,1787028599.1853719,1787028599.3744273
10372,2,0.22811460494995117,0.0016181468963623047,14,1,1787028583.6342652,1787028583.8639987
10398,18,0.161759614944458,0.04453420639038086,14,2,1787028599.687832,1787028599.8941267
10093,11,0.23017477989196777,0.01839160919189453,15,1,1787028584.1351662,1787028584.3837333
10134,5,0.1552431583404541,0.0015344619750976562,15,2,1787028600.1903937,1787028600.347172
8489,10,0.19340085983276367,0.018587112426757812,16,1,1787028584.636068,1787028584.8480568
8527,20,0.13275623321533203,0.05152392387390137,16,2,1787028600.6927207,1787028600.8770015
8810,10,0.20777535438537598,0.018793344497680664,17,1,1787028585.1371055,1787028585.3636749
8849,4,0.14184212684631348,0.002607107162475586,17,2,1787028601.1952965,1787028601.3397465
11424,55,0.29820895195007324,0.24135398864746094,18,1,1787028585.6381862,1787028586.17775
11506,47,0.170759916305542,0.1407485008239746,18,2,1787028601.6975899,1787028602.009099
12757,2,0.3529675006866455,0.0015866756439208984,19,1,1787028586.1397564,1787028586.494311
12796,50,0.1698622703552246,0.1509101390838623,19,2,1787028602.2002912,1787028602.5210645
8665,10,0.18798255920410156,0.02643609046936035,20,1,1787028586.6406198,1787028586.8550391
8706,45,0.15358948707580566,0.13333845138549805,20,2,1787028602.7050865,1787028602.992015
13813,10,0.29721808433532715,0.010918140411376953,21,1,1787028587.1417782,1787028587.4499152
13847,10,0.19191884994506836,0.011571884155273438,21,2,1787028603.2102253,1787028603.4137168
11088,18,0.23247861862182617,0.04119420051574707,22,1,1787028587.6427777,1787028587.9164517
11136,30,0.16176867485046387,0.08410978317260742,22,2,1787028603.7156863,1787028603.9615655
8260,22,0.18024563789367676,0.057105064392089844,23,1,1787028588.1437101,1787028588.3810616
8310,55,0.1496427059173584,0.24541187286376953,23,2,1787028604.2208695,1787028604.615925
10080,2,0.22696280479431152,0.001611471176147461,24,1,1787028588.6447527,1787028588.873328
10107,8,0.15620803833007812,0.010251522064208984,24,2,1787028604.7255147,1787028604.8919747
