(Worker_TP0 pid=1596177) INFO 09-02 20:38:28 [timed_mp_connector.py:110] TIMER pid=1596177 role=WORKER steps=200 wall_ms/step=94.93 hooks_ms/step=0.770 cpu_busy=1.90 | bind_connector_metadata=0.005(1.0x) build_connector_worker_meta=0.001(1.0x) clear_connector_metadata=0.001(1.0x) get_block_ids_with_load_errors=0.002(1.0x) get_finished=0.101(1.0x) get_kv_connector_stats=0.001(1.0x) handle_preemptions=0.008(1.0x) save_kv_layer=0.071(35.8x) start_load_kv=0.004(1.0x) wait_for_layer_load=0.129(35.8x) wait_for_save=0.448(1.0x)
(Worker_TP5 pid=1596182) INFO 09-02 20:38:28 [timed_mp_connector.py:110] TIMER pid=1596182 role=WORKER steps=200 wall_ms/step=95.35 hooks_ms/step=0.834 cpu_busy=1.92 | bind_connector_metadata=0.005(1.0x) build_connector_worker_meta=0.001(1.0x) clear_connector_metadata=0.001(1.0x) get_block_ids_with_load_errors=0.003(1.0x) get_finished=0.088(1.0x) get_kv_connector_stats=0.001(1.0x) handle_preemptions=0.010(1.0x) save_kv_layer=0.071(35.8x) start_load_kv=0.004(1.0x) wait_for_layer_load=0.134(35.8x) wait_for_save=0.515(1.0x)
(Worker_TP1 pid=1596178) INFO 09-02 20:38:28 [timed_mp_connector.py:110] TIMER pid=1596178 role=WORKER steps=200 wall_ms/step=95.55 hooks_ms/step=0.790 cpu_busy=1.88 | bind_connector_metadata=0.005(1.0x) build_connector_worker_meta=0.001(1.0x) clear_connector_metadata=0.001(1.0x) get_block_ids_with_load_errors=0.003(1.0x) get_finished=0.127(1.0x) get_kv_connector_stats=0.001(1.0x) handle_preemptions=0.009(1.0x) save_kv_layer=0.074(35.8x) start_load_kv=0.004(1.0x) wait_for_layer_load=0.136(35.8x) wait_for_save=0.429(1.0x)
(Worker_TP4 pid=1596181) INFO 09-02 20:38:28 [timed_mp_connector.py:110] TIMER pid=1596181 role=WORKER steps=200 wall_ms/step=95.62 hooks_ms/step=0.748 cpu_busy=1.90 | bind_connector_metadata=0.005(1.0x) build_connector_worker_meta=0.001(1.0x) clear_connector_metadata=0.001(1.0x) get_block_ids_with_load_errors=0.002(1.0x) get_finished=0.107(1.0x) get_kv_connector_stats=0.001(1.0x) handle_preemptions=0.008(1.0x) save_kv_layer=0.070(35.8x) start_load_kv=0.003(1.0x) wait_for_layer_load=0.132(35.8x) wait_for_save=0.417(1.0x)
(Worker_TP6 pid=1596183) INFO 09-02 20:38:28 [timed_mp_connector.py:110] TIMER pid=1596183 role=WORKER steps=200 wall_ms/step=95.65 hooks_ms/step=0.861 cpu_busy=1.85 | bind_connector_metadata=0.005(1.0x) build_connector_worker_meta=0.001(1.0x) clear_connector_metadata=0.001(1.0x) get_block_ids_with_load_errors=0.003(1.0x) get_finished=0.082(1.0x) get_kv_connector_stats=0.001(1.0x) handle_preemptions=0.010(1.0x) save_kv_layer=0.074(35.8x) start_load_kv=0.004(1.0x) wait_for_layer_load=0.140(35.8x) wait_for_save=0.539(1.0x)
(Worker_TP7 pid=1596184) INFO 09-02 20:38:28 [timed_mp_connector.py:110] TIMER pid=1596184 role=WORKER steps=200 wall_ms/step=95.73 hooks_ms/step=0.920 cpu_busy=1.63 | bind_connector_metadata=0.005(1.0x) build_connector_worker_meta=0.001(1.0x) clear_connector_metadata=0.001(1.0x) get_block_ids_with_load_errors=0.003(1.0x) get_finished=0.083(1.0x) get_kv_connector_stats=0.001(1.0x) handle_preemptions=0.010(1.0x) save_kv_layer=0.082(35.8x) start_load_kv=0.004(1.0x) wait_for_layer_load=0.149(35.8x) wait_for_save=0.580(1.0x)
(Worker_TP2 pid=1596179) INFO 09-02 20:38:28 [timed_mp_connector.py:110] TIMER pid=1596179 role=WORKER steps=200 wall_ms/step=95.78 hooks_ms/step=0.835 cpu_busy=1.51 | bind_connector_metadata=0.005(1.0x) build_connector_worker_meta=0.001(1.0x) clear_connector_metadata=0.001(1.0x) get_block_ids_with_load_errors=0.003(1.0x) get_finished=0.112(1.0x) get_kv_connector_stats=0.001(1.0x) handle_preemptions=0.008(1.0x) save_kv_layer=0.084(35.8x) start_load_kv=0.004(1.0x) wait_for_layer_load=0.150(35.8x) wait_for_save=0.464(1.0x)
(EngineCore pid=1595738) INFO 09-02 20:38:46 [timed_mp_connector.py:110] TIMER pid=1595738 role=SCHEDULER steps=200 wall_ms/step=89.49 hooks_ms/step=5.758 cpu_busy=0.96 | build_connector_meta=0.730(1.0x) get_num_new_matched_tokens=4.960(0.1x) on_new_request=0.001(0.3x) request_finished=0.006(0.1x) request_finished_all_groups=0.007(0.1x) sub_async_collect=0.002(0.1x) cpusub_async_collect=0.003(0.1x) sub_async_submit=0.001(0.1x) cpusub_async_submit=0.001(0.1x) sub_check_result=4.827(0.1x) cpusub_check_result=0.015(0.1x) sub_get_tracker=0.000(0.1x) cpusub_get_tracker=0.001(0.1x) take_events=0.002(1.0x) update_connector_output=0.003(1.0x) update_state_after_alloc=0.050(0.1x)
(Worker_TP4 pid=1596181) INFO 09-02 20:38:46 [timed_mp_connector.py:110] TIMER pid=1596181 role=WORKER steps=200 wall_ms/step=89.21 hooks_ms/step=0.805 cpu_busy=1.78 | bind_connector_metadata=0.005(1.0x) build_connector_worker_meta=0.001(1.0x) clear_connector_metadata=0.001(1.0x) get_block_ids_with_load_errors=0.003(1.0x) get_finished=0.081(1.0x) get_kv_connector_stats=0.001(1.0x) handle_preemptions=0.009(1.0x) save_kv_layer=0.079(36.0x) start_load_kv=0.004(1.0x) wait_for_layer_load=0.144(36.0x) wait_for_save=0.476(1.0x)
(Worker_TP2 pid=1596179) INFO 09-02 20:38:46 [timed_mp_connector.py:110] TIMER pid=1596179 role=WORKER steps=200 wall_ms/step=89.06 hooks_ms/step=0.763 cpu_busy=1.94 | bind_connector_metadata=0.005(1.0x) build_connector_worker_meta=0.001(1.0x) clear_connector_metadata=0.001(1.0x) get_block_ids_with_load_errors=0.003(1.0x) get_finished=0.109(1.0x) get_kv_connector_stats=0.001(1.0x) handle_preemptions=0.008(1.0x) save_kv_layer=0.072(36.0x) start_load_kv=0.004(1.0x) wait_for_layer_load=0.135(36.0x) wait_for_save=0.424(1.0x)
